9.6s 15 Epoch 0, Training Loss: 0.6963, Accuracy: 0.6457
9.6s 16 Epoch 100, Training Loss: 0.0599, Accuracy: 0.9971
9.6s 17 Epoch 200, Training Loss: 0.0219, Accuracy: 0.9971
9.9s 18 Epoch 300, Training Loss: 0.0159, Accuracy: 0.9971
9.9s 19 Epoch 400, Training Loss: 0.0134, Accuracy: 0.9971
9.9s 20 Epoch 500, Training Loss: 0.0120, Accuracy: 0.9971
9.9s 21 Epoch 600, Training Loss: 0.0111, Accuracy: 0.9971
9.9s 22 Epoch 700, Training Loss: 0.0105, Accuracy: 0.9971
9.9s 23 Epoch 800, Training Loss: 0.0100, Accuracy: 0.9971
9.9s 24 Epoch 900, Training Loss: 0.0096, Accuracy: 0.9971
10.1s 25 Epoch 1000, Training Loss: 0.0093, Accuracy: 0.9971
10.1s 26 Epoch 1100, Training Loss: 0.0091, Accuracy: 0.9971
10.1s 27 Epoch 1200, Training Loss: 0.0089, Accuracy: 0.9971
10.1s 28 Epoch 1300, Training Loss: 0.0087, Accuracy: 0.9971
10.1s 29 Epoch 1400, Training Loss: 0.0086, Accuracy: 0.9971
10.1s 30 Epoch 1500, Training Loss: 0.0084, Accuracy: 0.9971
10.1s 31 Epoch 1600, Training Loss: 0.0083, Accuracy: 0.9971
10.3s 32 Epoch 1700, Training Loss: 0.0082, Accuracy: 0.9971
10.3s 33 Epoch 1800, Training Loss: 0.0081, Accuracy: 0.9971
10.3s 34 Epoch 1900, Training Loss: 0.0080, Accuracy: 0.9971
10.3s 35 Epoch 2000, Training Loss: 0.0079, Accuracy: 0.9971
10.3s 36 Epoch 2100, Training Loss: 0.0078, Accuracy: 0.9971
10.3s 37 Epoch 2200, Training Loss: 0.0078, Accuracy: 0.9971
10.3s 38 Epoch 2300, Training Loss: 0.0077, Accuracy: 0.9971
10.5s 39 Epoch 2400, Training Loss: 0.0076, Accuracy: 0.9971
10.5s 40 Epoch 2500, Training Loss: 0.0076, Accuracy: 0.9971
10.5s 41 Epoch 2600, Training Loss: 0.0075, Accuracy: 0.9971
10.5s 42 Epoch 2700, Training Loss: 0.0075, Accuracy: 0.9971
10.5s 43 Epoch 2800, Training Loss: 0.0074, Accuracy: 0.9971
10.5s 44 Epoch 2900, Training Loss: 0.0074, Accuracy: 0.9971
10.8s 45 Epoch 3000, Training Loss: 0.0073, Accuracy: 0.9971
10.8s 46 Epoch 3100, Training Loss: 0.0073, Accuracy: 0.9971
10.8s 47 Epoch 3200, Training Loss: 0.0073, Accuracy: 0.9971
10.8s 48 Epoch 3300, Training Loss: 0.0072, Accuracy: 0.9971
10.8s 49 Epoch 3400, Training Loss: 0.0072, Accuracy: 0.9971
11.0s 50 Epoch 3500, Training Loss: 0.0072, Accuracy: 0.9971
11.0s 51 Epoch 3600, Training Loss: 0.0071, Accuracy: 0.9971
11.0s 52 Epoch 3700, Training Loss: 0.0071, Accuracy: 0.9971
11.0s 53 Epoch 3800, Training Loss: 0.0070, Accuracy: 0.9971
11.0s 54 Epoch 3900, Training Loss: 0.0070, Accuracy: 0.9971
11.0s 55 Epoch 4000, Training Loss: 0.0070, Accuracy: 0.9971
11.3s 56 Epoch 4100, Training Loss: 0.0070, Accuracy: 0.9971
11.3s 57 Epoch 4200, Training Loss: 0.0069, Accuracy: 0.9971
11.3s 58 Epoch 4300, Training Loss: 0.0069, Accuracy: 0.9971
11.3s 59 Epoch 4400, Training Loss: 0.0069, Accuracy: 0.9971
11.3s 60 Epoch 4499, Training Loss: 0.0068, Accuracy: 0.9971
